지번주소,지붕코드명,구조코드명,구 이름,건물명,건축면적(㎡),지상층수,연면적(㎡),에너지절감율,사용승인일,통합용도명,위도,경도,동 이름,2401 탄소 예측량,건축면적(㎡)_y,지상층수,지하층수,연면적(㎡)_y,그린리모델링진행,사용승인일_y,연식,작년 탄소 배출량 월평균,탄소/연면적,주변 평균,사용승인 연도
서울특별시 동대문구 장안동 343,기타지붕,철근콘크리트구조,동대문구,경로당,74.4,3,220.11,0,20030116,경로당,37.57132685,127.0725935,장안동,3.1875758,74.4,3,0,220.11,미진행,20030116,21,0.634490137,0.002882605,0.004300178,2003
서울특별시 동대문구 장안동 389-4,(철근)콘크리트,철근콘크리트구조,동대문구,삼성 어린이집,103.56,3,310.68,0,20140814,어린이집,37.57128439,127.0682467,장안동,38.07478,103.56,3,0,310.68,미진행,20140814,10,1.516400821,0.004880909,0.004300178,2014
서울특별시 동대문구 휘경동 282-4,기타지붕,벽돌구조,동대문구,동대문구립휘경어린이도서관,107.82,2,305.84,0,19850705,도서관,37.58867775,127.0605973,휘경동,24.105381,107.82,2,1,305.84,미진행,19850705,39,0.919908323,0.003007809,0.004861555,1985
서울특별시 동대문구 이문동 428,(철근)콘크리트,철근콘크리트구조,동대문구,신이문 금호어울림,0,1,90.2,0,20081010,경로당,37.60316424,127.0633496,이문동,665.51306,2136.77,47,3,23553.12,미진행,20081010,16,19.40152085,0.000823735,0.005566308,2008
서울특별시 중랑구 면목동 181-44,기타지붕,철근콘크리트구조,중랑구,꼬마사랑어린이집,66.36,4,249.87,0,20121121,어린이집,37.58956062,127.0763023,면목동,0.7509792,66.36,4,0,249.87,미진행,20121121,12,1.091216637,0.004367137,0.00468061,2012
서울특별시 중랑구 면목동 528-7,(철근)콘크리트,철근콘크리트구조,중랑구,천사어린이집,189.43,2,445.69,0,19960111,어린이집,37.57989992,127.0918362,면목동,7.095962,189.43,2,1,445.69,미진행,19960111,28,0.932347563,0.002091919,0.00468061,1996
서울특별시 중랑구 중화동 37-4,(철근)콘크리트,철근콘크리트구조,중랑구,구립중화경로복지관,254,4,752.66,0,20080404,경로당,37.60330651,127.0811519,중화동,7.1700783,254,4,1,752.66,미진행,20080404,16,2.969495694,0.003945335,0.005330601,2008
서울특별시 중랑구 망우동 349-9,(철근)콘크리트,철근콘크리트구조,중랑구,어울림어린이집,83.16,4,230.79,0,20140507,어린이집,37.60273065,127.1032341,망우동,0.840994,83.16,4,0,230.79,미진행,20140507,10,1.410999314,0.00611378,0.00501341,2014
서울특별시 중랑구 망우동 388-4,(철근)콘크리트,철근콘크리트구조,중랑구,동심어린이집,126,4,430.92,0,20130228,어린이집,37.59617311,127.1013,망우동,1.1711086,126,4,0,430.92,미진행,20130228,11,1.163258885,0.002699478,0.00501341,2013
서울특별시 중랑구 망우동 467-3,(철근)콘크리트,철근콘크리트구조,중랑구,배꽃어린이집,232.21,2,477.01,0,19990225,어린이집,37.59749042,127.099105,망우동,14.745003,232.21,2,1,477.01,미진행,19990225,25,1.120466533,0.002348937,0.00501341,1999
서울특별시 중랑구 망우동 583-1,(철근)콘크리트,철근콘크리트구조,중랑구,중랑숲 어린이 도서관,457.57,2,977.8,0,20120816,도서관,37.60266697,127.1039248,망우동,14.180494,457.57,2,1,977.8,미진행,20120816,12,4.437160872,0.004537902,0.00501341,2012
서울특별시 중랑구 신내동 283-1,(철근)콘크리트,철근콘크리트구조,중랑구,국공립새우개하나어린이집,269.13,3,591.28,0,20200617,어린이집,37.61800416,127.1012164,신내동,7.4797564,269.13,3,0,591.28,미진행,20200617,4,1.628018478,0.00275338,0.00526722,2020
서울특별시 성북구 돈암동 609-1,(철근)콘크리트,철근콘크리트구조,성북구,한진아파트,36713.089,2,985.08,0,19980701,도서관,37.59446798,127.0127047,돈암동,1313.3727,1432756.061,632,56,579313.272,미진행,19980701,26,1401.429624,0.002419122,0.00368752,1998
서울특별시 성북구 돈암동 644,(철근)콘크리트,철근콘크리트구조,성북구,돈암코오롱하늘채,245.7091,2,693.6815,0,20161229,도서관,37.59882867,127.0136227,돈암동,250.64694,6461.2887,140,27,98372.7973,미진행,20161229,8,5.529807452,5.62E-05,0.00368752,2016
서울특별시 성북구 동소문동6가 146,(철근)콘크리트,철근콘크리트구조,성북구,성북구보건지소,254.73,3,906.06,0,19910730,보건소,37.59360266,127.0157504,동,4.2313333,254.73,3,1,906.06,미진행,19910730,33,1.778667568,0.001963079,0.005995568,1991
서울특별시 성북구 정릉동 266-121,(철근)콘크리트,벽돌구조,성북구,청수도서관,210.77,3,461.86,0,19871029,도서관,37.61174916,127.0107709,정릉동,5.841647,210.77,3,1,461.86,미진행,19871029,37,0.404456039,0.000875711,0.006746136,1987
서울특별시 성북구 정릉동 1028-5,(철근)콘크리트,철근콘크리트구조,성북구,성북생명숲어린이집,312.94,3,889.37,0,20141230,어린이집,37.61602899,127.0091858,정릉동,13.197505,312.94,3,1,889.37,미진행,20141230,10,2.69566645,0.003030984,0.006746136,2014
서울특별시 성북구 길음동 1289-12,(철근)콘크리트,철근콘크리트구조,성북구,길음종합사회복지관,628.73,4,2604.92,0,20200622,어린이집,37.60673257,127.0267839,길음동,5.3201957,628.73,4,2,2604.92,미진행,20200622,4,4.634281701,0.00177905,0.003405023,2020
서울특별시 성북구 종암동 134,(철근)콘크리트,철근콘크리트구조,성북구,래미안라센트,576.13,3,1437.66,0,20110131,경로당,37.59925541,127.0392375,종암동,286.44458,6268.06,227,5,129693.82,미진행,20110131,13,134.6732987,0.001038394,0.004869029,2011
서울특별시 성북구 석관동 407,(철근)콘크리트,철근콘크리트구조,성북구,래미안석관,135.14,1,124.25,0,20090626,경로당,37.60916008,127.0548606,석관동,384.02643,6473.33,179,3,90585.84,미진행,20090626,15,205.9087167,0.002273078,0.005442829,2009
서울특별시 강북구 번동 147,(철근)콘크리트,철근콘크리트구조,강북구,강북문화정보센터,1334.32,4,5574.45,0,20010131,도서관,37.6251148,127.0360793,번동,31.491196,1334.32,4,1,5574.45,미진행,20010131,23,19.47345306,0.003493341,0.006104206,2001
