지번주소,구 이름,건물명,사용승인일,통합용도명,위도,경도,사용승인일.1,연식,대상 여부,진행 현황,연도별 사업 구분
서울특별시 영등포구 신길동 1-10,영등포구,밤동산마을도서관,19901222,도서관,37.51489545,126.9245203,19901222,34,대상,예비대상,
서울특별시 영등포구 신길동 456-62,영등포구,창의나라어린이집,20130123,어린이집,37.50889283,126.9215517,20130123,11,대상,사업완료,2021.0
서울특별시 영등포구 대림동 608-2,영등포구,대림도서관,20070724,도서관,37.50431408,126.896076,20070724,17,대상,사업완료,2020.0
서울특별시 영등포구 대림동 808-4,영등포구,구립두암경로당,19841205,어린이집,37.49370884,126.8956271,19841205,40,대상,사업완료,2022.0
서울특별시 영등포구 대림동 899-2,영등포구,보건소(보건분소),19870430,보건소,37.49545637,126.9058473,19951229,29,대상,사업완료,2020.0
서울특별시 영등포구 대림동 899-2,영등포구,보건소(보건분소),19870430,보건소,37.49545637,126.9058473,19951229,29,대상,사업완료,2021.0
서울특별시 영등포구 대림동 899-2,영등포구,보건소(보건분소),19870430,보건소,37.49545637,126.9058473,19951229,29,대상,예비대상,
서울특별시 동작구 본동 12-12,동작구,구립 선재어린이집,19920530,어린이집,37.51149689,126.9568836,19920530,32,대상,대상선정,
서울특별시 서초구 원지동 254-14,서초구,새원마을구립노인정,20030129,경로당,37.45386569,127.0499323,20030129,21,대상,대상선정,
서울특별시 서초구 서초동 1668-15,서초구,하은어린이집,20111206,어린이집,37.4931859,127.0182962,20111206,13,대상,대상선정,
