서울특별시 강서구 가양동 130-3,2.177233951,강서구,37.56738768,126.8423697,가양동,,128.76,2,271.3,미진행,0,19840804,슬레이트,벽돌구조, ,40,0.00802519,0.005251456,기타,민간,1984
서울특별시 강서구 가양동 131-1,0.937567549,강서구,37.56770236,126.841871,가양동,44.707355,91.78,2,257.37,미진행,1,19980731,(철근)콘크리트,철근콘크리트구조,성재정경로당,26,0.003642878,0.005251456,기타,공공,1998
서울특별시 강서구 가양동 131-3,3.10907423,강서구,37.56770257,126.8420294,가양동,4.179382,265.74,4,823.16,미진행,0,20121205,(철근)콘크리트,철근콘크리트구조,케이엠빌딩,12,0.003776999,0.005251456,기타,민간,2012
서울특별시 강서구 가양동 131-4,4.163888052,강서구,37.56764878,126.8422333,가양동,,176.02,3,519.49,미진행,1,19810812,(철근)콘크리트,철근콘크리트구조, ,43,0.008015338,0.005251456,기타,민간,1981
서울특별시 강서구 가양동 131-5,6.031152479,강서구,37.56752254,126.8421543,가양동,,157.69,3,593.73,미진행,1,19810128,(철근)콘크리트,철근콘크리트구조, ,43,0.010158073,0.005251456,기타,민간,1981
서울특별시 강서구 가양동 133,17.07028068,강서구,37.56790039,126.8417347,가양동,11.314802,403.34,10,3325.53,미진행,1,20140812,(철근)콘크리트,철근콘크리트구조,옥천빌딩,10,0.005133101,0.005251456,기타,민간,2014
서울특별시 강서구 가양동 134-1,32.06365147,강서구,37.56807275,126.8426059,가양동,33.7137,655.99,9,6429.58,미진행,3,20111108,(철근)콘크리트,철근콘크리트구조,려산빌딩,13,0.004986897,0.005251456,기타,민간,2011
서울특별시 강서구 가양동 135-1,3.344509707,강서구,37.56827128,126.8428432,가양동,4.3644357,212.87,4,990.87,미진행,1,19940421,(철근)콘크리트,철근콘크리트구조, ,30,0.003375326,0.005251456,기타,민간,1994
서울특별시 강서구 가양동 138-12,4.664933924,강서구,37.56836007,126.8418583,가양동,2.410793,172.25,4,799.68,미진행,1,19921109,(철근)콘크리트,철근콘크리트구조, ,32,0.005833501,0.005251456,기타,민간,1992
서울특별시 강서구 가양동 138-19,1.439625818,강서구,37.56830704,126.8426281,가양동,2.1796227,95.67,5,360.19,미진행,0,20131206,(철근)콘크리트,철근콘크리트구조, ,11,0.003996851,0.005251456,기타,민간,2013
서울특별시 강서구 가양동 138-9,15.01075413,강서구,37.56845968,126.8422316,가양동,12.752607,271.01,3,718.7,미진행,1,19951230,(철근)콘크리트,일반철골구조, ,29,0.02088598,0.005251456,기타,민간,1995
서울특별시 강서구 가양동 14-3,77.26644681,강서구,37.56224019,126.8542082,가양동,401.76462,4958.32,65,46276.13,미진행,6,19901030,(철근)콘크리트,철근콘크리트구조,가양우성아파트,34,0.001669683,0.005251456,기타,민간,1990
