지번주소,구 이름,건물명,사용승인일,통합용도명,위도,경도,사용승인일.1,연식,대상 여부,진행 현황,연도별 사업 구분
서울특별시 마포구 공덕동 370-4,마포구,공덕 크로시티,20230710,경로당,37.5474534,126.9505938,19841228,40,대상,사업완료,2021.0
서울특별시 마포구 신공덕동 175,마포구,신덕어린이집,20130325,어린이집,37.5443829,126.955371,20130325,11,대상,사업완료,2022.0
서울특별시 마포구 도화동 188,마포구,마포구 도화2동 경로당,20070510,경로당,37.53784768,126.9481109,20070510,17,대상,대상선정,
서울특별시 마포구 도화동 196-7,마포구,도화1동 어린이집,20070904,어린이집,37.5408587,126.9520917,20070904,17,대상,예비대상,
서울특별시 마포구 도화동 347-134,마포구,구립연화어린이집,20050314,어린이집,37.53829921,126.950498,20050314,19,대상,예비대상,
서울특별시 마포구 도화동 357-8,마포구,복사골 작은도서관 청사,19960925,도서관,37.53953417,126.9519229,19960925,28,대상,사업완료,2020.0
서울특별시 마포구 신수동 458,마포구,신수동 복합청사,20100122,어린이집,37.54715758,126.9351023,20100122,14,대상,예비대상,
서울특별시 마포구 성산동 65-4,마포구,성미어린이집,20220120,어린이집,37.56281941,126.9112407,20220120,2,미대상,,
서울특별시 마포구 중동 64-27,마포구,중동어린이집,19910712,어린이집,37.570148,126.9041799,19910712,33,대상,대상선정,
서울특별시 양천구 신정동 276,양천구,양천아파트,19951211,의료시설,37.50946015,126.8621603,19930702,31,대상,대상선정,
서울특별시 양천구 신정동 337-9,양천구,갈산공공도서관,20140529,도서관,37.50885337,126.8673189,20140529,10,대상,예비대상,
서울특별시 양천구 신정동 1320-7,양천구,서울특별시 서남병원,20110301,의료시설,37.5120176,126.8331322,20110301,13,대상,사업완료,2022.0
서울특별시 양천구 목동 655-16,양천구,구립목3동보듬이어린이집,20150209,어린이집,37.54530372,126.8636559,20150209,9,미대상,,
서울특별시 양천구 목동 768-15,양천구,구립아인어린이집,20210209,어린이집,37.53562108,126.8663777,20210209,3,미대상,,
서울특별시 양천구 신월동 9-2,양천구,구립둥지어린이집,19980924,어린이집,37.54273523,126.8285942,19980924,26,대상,사업완료,2020.0
서울특별시 양천구 신월동 206-3,양천구,신월소방파출소,20001229,파출소,37.52792022,126.8330855,20001229,24,대상,대상선정,
서울특별시 강서구 등촌동 516-6,강서구,하얀돌어린이집,20050203,어린이집,37.54588511,126.8600225,20050203,19,대상,대상선정,
서울특별시 강서구 등촌동 690-1,강서구,강서구립등빛도서관,20120331,도서관,37.56245022,126.8423688,20120331,12,대상,대상선정,
서울특별시 강서구 화곡동 29-187,강서구,신나는어린이집,20151106,어린이집,37.54635823,126.8491243,20151106,9,미대상,,
서울특별시 강서구 화곡동 56-369,강서구,구립하늘마음어린이집,20191217,어린이집,37.53900898,126.8514134,20191217,5,미대상,,
서울특별시 강서구 화곡동 95-94,강서구,구립우장숲어린이집,20101110,어린이집,37.54645063,126.8439641,20101110,14,대상,사업완료,2022.0
서울특별시 강서구 화곡동 470-5,강서구,가람어린이집,20000127,어린이집,37.53605104,126.8565447,20000127,24,대상,예비대상,
서울특별시 강서구 화곡동 871-3,강서구,해다미어린이집,20051014,어린이집,37.53165029,126.8533966,20051014,19,대상,사업완료,2022.0
서울특별시 강서구 화곡동 1042-5,강서구,구립아이나무어린이집,20191212,어린이집,37.54139987,126.8335759,20191212,5,미대상,,
서울특별시 강서구 화곡동 1170,강서구,우장산역 해링턴 타워,20210903,도서관,37.54616924,126.8357832,20210903,3,미대상,,
서울특별시 강서구 가양동 187-6,강서구,가양어린이집,19901218,어린이집,37.56989947,126.8408928,19901218,34,대상,예비대상,
